Unnamed: 0,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
43,0,5,5,6,9,0,14,14,24,19,15,6,24,4,20,4,16,28,28,8,2,10,5,25,23,21,15,20,1
44,1,15,28,26,0,16,12,14,2,14,9,6,10,19,2,17,24,9,13,0,0,25,26,25,2,4,13,10,4
45,1,28,27,26,14,28,7,16,10,26,12,2,9,24,21,19,7,21,18,3,17,11,16,17,15,21,1,27,4
46,1,14,26,25,16,11,12,9,5,8,9,10,7,12,1,21,27,0,0,29,4,19,16,3,11,11,19,27,22
47,1,29,29,29,13,28,4,16,13,26,14,3,1,28,3,24,15,22,15,2,13,7,11,23,23,25,0,27,3
50,1,29,29,27,14,23,12,23,6,27,24,13,24,10,16,26,16,23,9,12,11,2,8,9,23,25,20,4,6
51,1,11,26,25,17,7,14,12,7,7,11,13,25,10,6,17,27,9,25,18,5,15,19,12,9,12,7,0,12
52,1,25,28,23,27,22,12,12,6,22,10,4,12,20,5,26,3,13,4,21,18,13,12,19,18,14,21,7,9
53,1,28,29,28,17,19,23,24,7,21,17,5,26,14,5,23,10,18,5,23,12,4,19,19,14,24,12,2,8
54,1,28,28,27,14,10,18,14,6,16,10,11,27,14,4,12,2,14,25,22,5,13,23,15,11,19,26,12,0
55,1,17,28,27,18,5,20,16,7,6,14,19,26,8,6,7,1,22,27,22,5,10,19,12,9,21,24,7,14
58,1,19,26,23,14,12,14,14,4,17,5,14,1,18,3,25,29,0,4,24,4,17,23,12,11,12,22,26,24
59,1,27,25,23,13,23,18,19,8,24,14,2,4,20,15,19,5,21,10,9,15,12,17,15,16,14,25,20,8
60,1,0,0,29,0,13,17,15,5,15,18,10,25,9,3,18,12,18,14,17,10,2,15,17,15,24,17,7,3
61,1,0,29,29,1,18,10,9,5,0,17,5,16,27,10,16,24,1,23,21,18,21,26,25,6,9,1,24,8
62,1,27,26,25,13,23,17,21,7,15,13,0,16,21,8,19,1,5,1,26,21,16,22,18,11,13,2,23,5
63,1,29,29,29,13,11,25,21,8,21,23,15,24,5,5,14,13,19,14,15,10,1,26,22,10,25,11,15,23
66,1,24,26,24,18,16,20,16,10,16,11,3,12,16,4,13,25,2,26,21,24,23,20,17,8,8,17,5,14
67,1,20,26,13,25,22,10,7,7,21,15,7,28,12,5,23,12,19,7,22,12,2,8,15,22,24,19,3,8
68,1,26,26,24,14,17,21,19,8,19,11,5,9,14,2,20,29,12,5,25,21,16,19,15,14,10,23,13,8
69,1,29,29,29,15,14,23,24,5,17,9,4,8,16,4,12,26,10,27,25,25,22,19,12,10,7,16,4,6
70,1,20,27,25,16,12,11,7,8,8,9,8,10,18,8,16,29,6,22,21,7,18,22,10,12,0,26,27,0
71,1,28,29,28,13,7,27,23,9,16,20,12,25,6,21,3,3,15,20,15,9,5,23,14,9,24,9,8,22
74,1,19,27,26,18,7,24,20,9,10,11,11,27,8,6,9,6,7,13,22,8,10,23,16,10,23,25,13,0
